mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11364097595214843,0.0024706962673641955,0.005371570587158203,0.0035511491477090026,7,0.8,1.0,0.03,"{'max_depth': 7, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.9061371841155235,0.9314079422382672,0.8985507246376812,0.9347826086956522,0.9130434782608695,0.9167843875895987,0.014125212370886655,43
0.1133835792541504,0.006928430994038842,0.0017223358154296875,0.0021543319375454915,7,0.9,0.9,0.03,"{'max_depth': 7, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8989169675090253,0.9169675090252708,0.9239130434782609,0.927536231884058,0.9057971014492754,0.9146261706691782,0.010799343310206657,45
0.10925989151000977,0.006117347099837998,0.003225898742675781,0.002644948391997126,10,0.7,0.9,0.03,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.9061371841155235,0.9169675090252708,0.9057971014492754,0.9384057971014492,0.9021739130434783,0.9138963009469995,0.01321637639804553,46
0.10491185188293457,0.0016102627560502564,0.0038022518157958983,0.001939370986589556,10,0.7,0.8,0.03,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.9061371841155235,0.9205776173285198,0.9094202898550725,0.927536231884058,0.9021739130434783,0.9131690472453304,0.009441357553709204,47
0.12299766540527343,0.009571618640673202,0.00453643798828125,0.0010190401261656826,7,1.0,0.9,0.03,"{'max_depth': 7, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8953068592057761,0.927797833935018,0.9094202898550725,0.9239130434782609,0.9057971014492754,0.9124470255846806,0.011952278502651703,48
0.10097169876098633,0.0075226168179574355,0.007916975021362304,0.007720404657879266,7,0.7,0.9,0.03,"{'max_depth': 7, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.9133574007220217,0.9097472924187726,0.9057971014492754,0.9347826086956522,0.8985507246376812,0.9124470255846806,0.01220101869501998,48
0.1049163818359375,0.001487775775984791,0.0053596973419189455,0.0004465063124244671,10,0.8,0.8,0.03,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.9025270758122743,0.9169675090252708,0.9057971014492754,0.9311594202898551,0.9021739130434783,0.9117250039240308,0.0111008616379502,50
0.10739016532897949,0.008151829515484762,0.005007266998291016,0.005714861484195305,7,0.7,1.0,0.03,"{'max_depth': 7, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.9061371841155235,0.9097472924187726,0.9021739130434783,0.9384057971014492,0.8985507246376812,0.911002982263381,0.014206887012415017,51
0.10640816688537598,0.005780406978226179,0.0021649837493896485,0.0026644205939096123,7,0.7,0.8,0.03,"{'max_depth': 7, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.8989169675090253,0.9205776173285198,0.8985507246376812,0.9347826086956522,0.9021739130434783,0.9110003662428714,0.014396021475256832,52
0.11142759323120117,0.004149410707022095,0.004450416564941407,0.0010842072299176127,7,0.9,0.8,0.03,"{'max_depth': 7, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.9061371841155235,0.9061371841155235,0.9094202898550725,0.9347826086956522,0.894927536231884,0.9102809606027311,0.013199552420202819,53
